Classic Concentration,GameTek,1990
Cliffhanger,Sony Imagesoft,1993
Clu Clu Land,Nintendo,1985
Cobra Command,Data East,1988
Cobra Triangle,Nintendo,1989
Code Name: Viper,Capcom,1990
Color a Dinosaur,Virgin Games,1993
Commando,Capcom,1986
Conan: The Mysteries of Time,Mindscape,1991
Conflict,Vic Tokai,1990
Conquest of the Crystal Palace,Asmik,1990
Contra,Konami,1988
Contra Force,Konami,1992
Cool World,Ocean Software,1993
Cowboy Kid,Romstar,1992
Crash 'n the Boys: Street Challenge,American Technos,1992
Crystal Mines,Color Dreams,1989
Crystalis,SNK,1990
Cyberball,Jaleco,1992
Cybernoid: The Fighting Machine,Acclaim,1989
CyberStadium Series: Base Wars,Ultra Games (Konami),1991
Dance Aerobics,Nintendo,1989
Danny Sullivan's Indy Heat,Tradewest,1992
Darkman,Ocean Software,1991
Darkwing Duck,Capcom,1992
Dash Galaxy in the Alien Asylum,Data East,1990
Day Dreamin' Davey,HAL Laboratory,1992
Days of Thunder,Mindscape,1990
Deadly Towers,Broderbund,1987
Death Race,American Game Cartridges,1990
Deathbots,AVE,1990
Defender II,HAL Laboratory,1988
Defender of the Crown,Ultra Games (Konami),1989
Defenders of Dynatron City,JVC,1992
Deja Vu,Kemco,1990
Demon Sword,Taito,1990
Desert Commander,Kemco,1989
Destination Earthstar,Acclaim,1990
Destiny of an Emperor,Capcom,1990
Dick Tracy,Bandai,1990
Die Hard,Activision,1992
Dig Dug II,Bandai,1989
Digger T. Rock: The Legend of the Lost City,Milton Bradley,1990
Dirty Harry,Mindscape,1990
Dizzy the Adventurer (Aladdin),Camerica,1993
Donkey Kong,Nintendo,1986
Donkey Kong 3,Nintendo,1986
Donkey Kong Classics,Nintendo,1988
Donkey Kong Jr.,Nintendo,1986
Donkey Kong Jr. Math,Nintendo,1985
Double Dare,GameTek,1990
Double Dragon,Tradewest,1988
Double Dragon II: The Revenge,Acclaim,1990
Double Dragon III: The Sacred Stones,Acclaim,1991
Double Dribble,Konami,1987
Double Strike,AVE,1990
Dr. Chaos,FCI,1988
Dr. Jekyll and Mr. Hyde,Bandai,1989
Dr. Mario,Nintendo,1990
Dragon Fighter,Sofel,1992
Dragon Power,Bandai,1988
Dragon Spirit: The New Legend,Bandai,1990
Dragon Warrior,Nintendo,1989
Dragon Warrior II,Enix,1990
Dragon Warrior III,Enix,1991
Dragon Warrior IV,Enix,1992
Dragon's Lair,Sony Imagesoft,1990
Duck Hunt,Nintendo,1985
DuckTales,Capcom,1989
DuckTales 2,Capcom,1993
Dudes With Attitude,AVE,1990
Dungeon Magic: Sword of the Elements,Taito,1990
Dusty Diamond's All-Star Softball,Broderbund,1990
Dynowarz: Destruction of Spondylus,Bandai,1990
Elevator Action,Taito,1987
Eliminator Boat Duel,Electro Brain,1991
Excitebike,Nintendo,1985
Exodus: Journey to the Promised Land,Wisdom Tree,1990
F-117A Stealth Fighter,MicroProse,1992
F-15 City War,AVE,1990
F-15 Strike Eagle,MicroProse,1992
Family Feud,GameTek,1991
"Fantastic Adventures of Dizzy, The",Camerica,1993
"Fantastic Adventures of Dizzy, The (Aladdin)",Camerica,1993
Fantasy Zone,Tengen,1989
Faria: A World of Mystery & Danger!,Nexoft,1991
Faxanadu,Nintendo,1989
Felix the Cat,Hudson Soft,1992
Ferrari Grand Prix Challenge,Acclaim,1992
Fester's Quest,Sunsoft,1989
Final Fantasy,Nintendo,1990
Fire 'N Ice,Tecmo,1993
Firehawk,Camerica,1991
Fisher Price: Firehouse Rescue,GameTek,1992
Fisher Price: I Can Remember,GameTek,1990
Fisher Price: Perfect Fit,GameTek,1990
Fist of the North Star,Taxan,1989
Flight of the Intruder,Mindscape,1991
"Flintstones, The: The Rescue of Dino & Hoppy",Taito,1991
"Flintstones, The: The Surprise at Dinosaur Peak!",Taito,1994
Flying Dragon: The Secret Scroll,Culture Brain,1989
Flying Warriors,Culture Brain,1991
Formula One: Built to Win,Seta,1990
Frankenstein: The Monster Returns,Bandai,1991
Freedom Force,Sunsoft,1988
Friday the 13th,LJN,1989
Fun House,Hi-Tech Expressions,1991
G.I. Joe: A Real American Hero,Taxan,1991
G.I. Joe: The Atlantis Factor,Capcom,1992
Galactic Crusader,Bunch Games,1990
Galaga: Demons of Death,Bandai,1988
Galaxy 5000,Activision,1991
Gargoyle's Quest II: The Demon Darkness,Capcom,1992
Gauntlet (licensed grey cart),Tengen,1987
Gauntlet (unlicensed black cart),Tengen,1987
Gauntlet II,Mindscape,1990
Gemfire,Koei,1992
Genghis Khan,Koei,1990
George Foreman's KO Boxing,Acclaim,1992
Ghost Lion,Kemco,1992
Ghostbusters,Activision,1988
Ghostbusters II,Activision,1990
Ghosts 'n Goblins,Capcom,1986
Ghoul School,Electro Brain,1992
Goal!,Jaleco,1989
Goal! Two,Jaleco,1992
Godzilla 2: War of the Monsters,Toho,1992
Godzilla: Monster of Monsters!,Toho,1989
Gold Medal Challenge '92,Capcom,1992
Golf,Nintendo,1985
Golf Grand Slam,Atlus,1991
Golgo 13: Top Secret Episode,Vic Tokai,1988
"Goonies II, The",Konami,1987
Gotcha! The Sport!,LJN,1987
Gradius,Konami,1986
"Great Waldo Search, The",THQ,1992
Greg Norman's Golf Power,Virgin Games,1992
Gremlins 2: The New Batch,Sunsoft,1990
"Guardian Legend, The",Broderbund,1989
Guerrilla War,SNK,1989
Gumshoe,Nintendo,1986
Gun-Nac,ASCII,1991
Gun.Smoke (Gunslinger Label),Capcom,1988
Gun.Smoke (Silhouette Label),Capcom,1988
Gyromite,Nintendo,1985
Gyruss,Ultra Games (Konami),1989
Harlem Globetrotters,GameTek,1991
Hatris,Bullet Proof Software,1992
Heavy Barrel,Data East,1990
Heavy Shreddin',Parker Brothers,1990
High Speed,Tradewest,1991
Hogan's Alley,Nintendo,1985
Hollywood Squares,GameTek,1989
Home Alone,THQ,1991
Home Alone 2: Lost in New York,THQ,1992
Hook,Sony Imagesoft,1992
Hoops,Jaleco,1989
Hot Slots,Panesian,1991
Hudson Hawk,Sony Imagesoft,1992
"Hunt for Red October, The",Hi-Tech Expressions,1991
Hydlide,FCI,1989
Ice Climber,Nintendo,1985
Ice Hockey,Nintendo,1988
Ikari III: The Rescue,SNK,1991
Ikari Warriors,SNK,1987
Ikari Warriors II: Victory Road,SNK,1988
Image Fight,Irem,1990
"Immortal, The",Electronic Arts,1990
Impossible Mission II (AVE),AVE,1989
Impossible Mission II (SEI),SEI,1991
"Incredible Crash Dummies, The",LJN,1994
Indiana Jones and the Last Crusade (Taito),Taito,1991
Indiana Jones and the Last Crusade (Ubisoft),Ubisoft,1993
Indiana Jones and the Temple of Doom (Mindscape),Mindscape,1988
Indiana Jones and the Temple of Doom (Tengen),Tengen,1988
Infiltrator,Mindscape,1990
Iron Tank,SNK,1988
Ironsword: Wizards & Warriors II,Acclaim,1989
Isolated Warrior,NTVIC,1991
Ivan 'Ironman' Stewart's Super Off Road,Tradewest,1990
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,Konami,1990
Jackal,Konami,1988
Jackie Chan's Action Kung Fu,Hudson Soft,1990
James Bond Jr.,THQ,1992
Jaws,LJN,1987
Jeopardy!,GameTek,1988
Jeopardy! 25th Anniversary Edition,GameTek,1990
Jeopardy! Junior Edition,GameTek,1989
"Jetsons, The: Cogswell's Caper!",Taito,1992
Jimmy Connors Tennis,Ubisoft,1993
Joe & Mac,Data East,1992
John Elway's Quarterback,Tradewest,1989
Jordan vs. Bird: One on One,Milton Bradley,1989
Joshua & the Battle of Jericho,Wisdom Tree,1992
Journey to Silius,Sunsoft,1990
Joust,HAL Laboratory,1988
"Jungle Book, The",Virgin Games,1994
Jurassic Park,Ocean Software,1993
Kabuki Quantum Fighter,HAL Laboratory,1991
Karate Champ,Data East,1986
"Karate Kid, The",LJN,1987
Karnov,Data East,1988
Kick Master,Taito,1992
Kickle Cubicle,Irem,1990
Kid Icarus,Nintendo,1987
Kid Klown in Night Mayor World,Kemco,1993
Kid Kool,Vic Tokai,1990
Kid Niki: Radical Ninja,Data East,1987
King Neptune's Adventure,Color Dreams,1990
"King of Kings, The: The Early Years",Wisdom Tree,1991
King's Knight,Square,1989
Kings of the Beach,Ultra Games (Konami),1990
Kings Quest V,Konami,1992
Kirby's Adventure,Nintendo,1993
Kiwi Kraze,Taito,1991
KlashBall,Sofel,1991
Klax,Tengen,1990
Knight Rider,Acclaim,1989
Krazy Kreatures,AVE,1990
"Krion Conquest, The",Vic Tokai,1991
Krusty's Fun House,Acclaim,1992
Kung Fu,Nintendo,1985
Kung-Fu Heroes,Culture Brain,1989
L'Empereur,Koei,1991
Laser Invasion,Konami,1991
Last Action Hero,Sony Imagesoft,1993
"Last Ninja, The",Jaleco,1991
