Uninvited,Kemco,1991
"Untouchables, The (black label)",Ocean Software,1991
"Untouchables, The (blue label)",Ocean Software,1991
Urban Champion,Nintendo,1986
Vegas Dream,HAL Laboratory,1990
Venice Beach Volleyball,AVE,1991
Vice: Project Doom,American Sammy,1991
Videomation,THQ,1991
Vindicators,Tengen,1988
Volleyball,Nintendo,1987
Wacky Races,Atlus,1992
Wall Street Kid,Sofel,1990
Wally Bear and the NO! Gang,AVE,1992
Wario's Woods,Nintendo,1994
Wayne Gretzky Hockey (black uniform),THQ,1991
Wayne Gretzky Hockey (white uniform),THQ,1991
Wayne's World,THQ,1993
WCW World Championship Wrestling,FCI,1990
Werewolf: The Last Warrior,Data East,1990
Wheel of Fortune,GameTek,1988
Wheel of Fortune: Family Edition,GameTek,1990
Wheel of Fortune: Featuring Vanna White,GameTek,1992
Wheel of Fortune: Junior Edition,GameTek,1989
Where in Time Is Carmen Sandiego?,Konami,1991
Where's Waldo?,THQ,1991
Who Framed Roger Rabbit,LJN,1989
Whomp 'Em,Jaleco,1991
Widget,Atlus,1992
Wild Gunman,Nintendo,1985
Willow,Capcom,1989
"Win, Lose or Draw",Hi-Tech Expressions,1990
Winter Games,Acclaim,1987
Wizardry: Knight of Diamonds - The Second Scenario,ASCII,1992
Wizardry: Proving Grounds of the Mad Overlord,Nexoft,1990
Wizards & Warriors,Acclaim,1987
Wizards & Warriors III: Kuros - Visions of Power,Acclaim,1992
Wolverine,LJN,1991
World Champ,Romstar,1991
World Class Track Meet,Nintendo,1988
World Games,Milton Bradley,1989
Wrath of the Black Manta,Taito,1990
Wrecking Crew,Nintendo,1985
WURM: Journey to the Center of the Earth,Asmik,1991
WWF King of the Ring,Acclaim,1993
WWF WrestleMania,Acclaim,1989
WWF WrestleMania Challenge,LJN,1990
WWF WrestleMania: Steel Cage Challenge,LJN,1992
Xenophobe,Sunsoft,1988
Xevious,Bandai,1988
Xexyz,Hudson Soft,1990
Yo! Noid,Capcom,1990
Yoshi,Nintendo,1992
Yoshi's Cookie,Nintendo,1993
"Young Indiana Jones Chronicles, The",Jaleco,1992
Zanac,FCI,1987
Zelda II: The Adventure of Link (Gold Cartridge),Nintendo,1988
Zelda II: The Adventure of Link (Grey Cartridge),Nintendo,1992
Zen: Intergalactic Ninja,Konami,1993
Zoda's Revenge: StarTropics II,Nintendo,1994
Zombie Nation,Meldac,1991
